Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:59 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:59 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:59 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:59 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:19:18 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:19:19 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:19:19 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:19:19 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:19:27 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:19:27 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:19:27 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:19:27 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:19:30 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:19:30 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:19:30 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:19:30 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:19:59 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:19:59 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:19:59 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:19:59 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:20:02 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:20:02 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:20:02 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:20:02 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:20:08 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:20:08 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:20:08 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:20:08 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:21:28 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:21:28 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:21:29 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:21:29 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:21:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:21:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:21:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:21:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:22:08 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:22:08 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:22:08 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:22:08 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:22:17 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:22:17 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:22:17 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:22:17 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:25:54 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:25:55 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:28:11 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:28:11 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:28:11 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:28:11 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:41 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:42 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:56 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:56 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:30:56 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:30:56 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:32:38 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:32:38 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:32:38 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | jamesb has logged in | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | jamesb has logged in | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:32:58 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:08 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:08 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:08 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:08 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:39 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:48 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:48 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:33:48 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:33:48 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:36:51 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:36:51 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:36:51 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:36:52 GMT | INFO | loggers.log | Verified User has valid token | 
